stairs.thisTrialN,stairs.stepSize,stairs.intensity,text.started,text.stopped,corrAns,tilt,key_resp.corr,fixation.started,fixation.stopped,grating.started,grating.stopped,stairs.response,key_resp.rt,key_resp.started,key_resp.stopped,text_2.started,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
68,0.5,1.0,,,left,-1.0,1,86.82849140100006,87.32857858199714,87.29535546399711,87.59546322399547,1,0.6622363429996767,87.29535546399711,None,,,,001,2025_Sep_02_1030,Adaptive staircase experiment,2021.2.3,59.94839941398355,
69,0.5,1.0,,,right,1.0,1,87.97859690799669,88.47866844399687,88.44549449199985,88.74547172199527,1,0.6591866959934123,88.44549449199985,None,,,,001,2025_Sep_02_1030,Adaptive staircase experiment,2021.2.3,59.94839941398355,
70,0.5,1.0,,,left,-1.0,1,89.12875082499522,89.62875828099641,89.59554138300155,89.89538750099746,1,0.5440874049963895,89.59554138300155,None,,,,001,2025_Sep_02_1030,Adaptive staircase experiment,2021.2.3,59.94839941398355,
71,0.5,1.0,,,right,1.0,0,90.16210318700178,90.66213363299903,90.62881326099887,90.92868319199624,0,0.8497689400028321,90.62881326099887,None,,,,001,2025_Sep_02_1030,Adaptive staircase experiment,2021.2.3,59.94839941398355,
72,0.5,1.5,,,left,-1.5,1,91.49565882999741,91.99559943300119,91.97894196299603,92.27895286100102,1,0.4003942650015233,91.97894196299603,None,,,,001,2025_Sep_02_1030,Adaptive staircase experiment,2021.2.3,59.94839941398355,
73,0.5,1.5,,,right,1.5,1,92.41214568400028,92.91219532799732,92.89567109700147,93.19575967799756,1,0.4400323160007247,92.89567109700147,None,,,,001,2025_Sep_02_1030,Adaptive staircase experiment,2021.2.3,59.94839941398355,
74,0.5,1.5,,,left,-1.5,1,93.36061091400188,93.86258236299909,93.82893217499804,94.12910315099725,1,0.48432432100526057,93.82893217499804,None,,,,001,2025_Sep_02_1030,Adaptive staircase experiment,2021.2.3,59.94839941398355,
75,0.5,1.0,,,left,-1.0,1,94.34383739499754,94.84587536400068,94.82922992399835,95.12903587099572,1,0.6470258389963419,94.82922992399835,None,,,,001,2025_Sep_02_1030,Adaptive staircase experiment,2021.2.3,59.94839941398355,
76,0.5,1.0,,,left,-1.0,1,95.49595552100072,96.01257515500038,95.96232669000165,96.26263584399567,1,0.5313902550042258,95.96232669000165,None,,,,001,2025_Sep_02_1030,Adaptive staircase experiment,2021.2.3,59.94839941398355,
77,0.5,1.0,,,left,-1.0,1,96.51260576499772,97.0126360610011,96.99592386299628,97.29593639099767,1,1.9170827260022634,96.99592386299628,None,,,,001,2025_Sep_02_1030,Adaptive staircase experiment,2021.2.3,59.94839941398355,
78,0.5,1.0,,,right,1.0,1,98.94537106299686,99.44587436699658,99.42903899199882,99.72949232300016,1,0.5199508579971734,99.42903899199882,None,,,,001,2025_Sep_02_1030,Adaptive staircase experiment,2021.2.3,59.94839941398355,
79,0.5,1.0,,,right,1.0,1,99.97956976800197,100.47943539799599,100.46270014099719,100.7625248330005,1,0.49941003900312353,100.46270014099719,None,,,,001,2025_Sep_02_1030,Adaptive staircase experiment,2021.2.3,59.94839941398355,
